State,County,Scenario,Value
South Carolina,Abbeville,Conservative,1
Louisiana,Acadia,Conservative,1
Virginia,Accomack,Conservative,1
Idaho,Ada,Conservative,1
Iowa,Adair,Conservative,1
Kentucky,Adair,Conservative,1
Missouri,Adair,Conservative,1
Oklahoma,Adair,Conservative,1
Colorado,Adams,Conservative,1
Iowa,Adams,Conservative,1
Idaho,Adams,Conservative,1
Illinois,Adams,Conservative,1
Indiana,Adams,Conservative,1
Mississippi,Adams,Conservative,1
North Dakota,Adams,Conservative,1
Nebraska,Adams,Conservative,1
Ohio,Adams,Conservative,1
Pennsylvania,Adams,Conservative,1
Washington,Adams,Conservative,1
Wisconsin,Adams,Conservative,1
Vermont,Addison,Conservative,1
South Carolina,Aiken,Conservative,1
Minnesota,Aitkin,Conservative,1
Florida,Alachua,Conservative,1
North Carolina,Alamance,Conservative,1
California,Alameda,Conservative,1
Colorado,Alamosa,Conservative,1
New York,Albany,Conservative,1
Wyoming,Albany,Conservative,1
Virginia,Albemarle,Conservative,1
Michigan,Alcona,Conservative,1
Mississippi,Alcorn,Conservative,1
Illinois,Alexander,Conservative,1
North Carolina,Alexander,Conservative,1
Oklahoma,Alfalfa,Conservative,1
Michigan,Alger,Conservative,1
Iowa,Allamakee,Conservative,1
Michigan,Allegan,Conservative,1
Maryland,Allegany,Conservative,1
New York,Allegany,Conservative,1
North Carolina,Alleghany,Conservative,1
Virginia,Alleghany,Conservative,1
Pennsylvania,Allegheny,Conservative,1
Indiana,Allen,Conservative,1
Kansas,Allen,Conservative,1
Kentucky,Allen,Conservative,1
Louisiana,Allen,Conservative,1
Ohio,Allen,Conservative,1
South Carolina,Allendale,Conservative,1
Michigan,Alpena,Conservative,1
California,Alpine,Conservative,1
California,Amador,Conservative,1
Virginia,Amelia,Conservative,1
Virginia,Amherst,Conservative,1
Mississippi,Amite,Conservative,1
Kansas,Anderson,Conservative,1
Kentucky,Anderson,Conservative,1
South Carolina,Anderson,Conservative,1
Tennessee,Anderson,Conservative,1
Texas,Anderson,Conservative,1
Missouri,Andrew,Conservative,1
Texas,Andrews,Conservative,1
Maine,Androscoggin,Conservative,1
Texas,Angelina,Conservative,1
Maryland,Anne Arundel,Conservative,1
Minnesota,Anoka,Conservative,1
North Carolina,Anson,Conservative,1
Nebraska,Antelope,Conservative,1
Michigan,Antrim,Conservative,1
Arizona,Apache,Conservative,1
Iowa,Appanoose,Conservative,1
Georgia,Appling,Conservative,1
Virginia,Appomattox,Conservative,1
Texas,Aransas,Conservative,1
Colorado,Arapahoe,Conservative,1
